"Id","Sales"
1,4206.37
24825,4472.34
5993,3663.22
37665,5103.33
18833,3640.95
12841,5091.43
19689,3437.86
857,4418.46
15409,5144.46
38521,5633.83
13697,5406.51
7705,3774.05
39377,5134.05
20545,3731.37
1713,4553.35
16265,4428.95
33385,4488.33
27393,4681.74
2569,5149.68
40233,4613.1
21401,4352.5
35953,4477.18
34241,4145.29
3425,4291.56
22257,3906.03
9417,3973.5
30817,3666.86
10273,4294.38
35097,4414.19
23113,4242.53
4281,4176.6
14553,5691.44
8561,4154.14
29961,3539.3
25681,4833.85
5137,3754.79
23969,4374.14
36809,4721.86
17977,3624.47
26537,5351.55
11985,4783.83
6849,3734.07
17121,4067.56
29105,3962.17
32529,4149.34
11129,4495.07
31673,3683.33
28249,4324.83
23970,7617.13
1714,8662.46
24826,7964.14
18834,5637.67
38522,9834.7
5994,5810.05
35954,7517.47
2,7382.21
39378,4647.11
4282,4014.67
29106,6140.24
8562,6133.33
9418,3721.12
25682,8710.76
19690,5415.89
34242,4108.57
16266,4356.92
22258,3767.79
26538,10035.4
20546,5433.38
10274,4225.06
30818,5843.68
37666,8445.16
33386,4173.08
14554,11109.6
858,7872.55
21402,4034.2
2570,9821.78
11130,7275.02
5138,5837.3
40234,4502.11
32530,6096.44
36810,7899.88
11986,7763.6
15410,4369.68
35098,7391.59
29962,5679.32
23114,7296.94
17978,5653.5
31674,5870.28
28250,3963.91
6850,5904.6
13698,8837.86
27394,4200.45
7706,5989.96
17122,6526.93
12842,8260.65
3426,3883.14
4283,6144.13
23971,10351.7
24827,10594.7
1715,10877.8
8563,9175.02
5995,8058.45
29107,9825.69
38523,14603.9
34243,6980.92
22259,6496.33
35955,10379.9
3,9035.98
20547,9229.5
39379,5272.4
16267,7571.85
26539,14476
23115,10304.2
18835,8952.12
25683,11973.7
37667,11932.8
859,9520.02
17123,9979.46
5139,8246.18
19691,8753.43
9419,3947.86
7707,8610.34
11987,9716.34
10275,6028.75
35099,10541.6
33387,4866.95
14555,15309.9
21403,4901.23
2571,12760
11131,9173.69
29963,8860.01
15411,5489.57
28251,6793.48
32531,10298.5
13699,12029.9
36811,10630.9
