"Id","Sales"
1,3963.4
24825,4499.6
5993,3390.93
37665,5033.31
18833,3730.66
12841,4993.47
19689,3467.66
857,4096.36
15409,5194.59
38521,5760.29
13697,5261.08
7705,3529.94
39377,5613.49
20545,3641.6
1713,4446.15
16265,4194.93
33385,4901.85
27393,5474.13
2569,5047.27
40233,4815.77
21401,4633.21
35953,4493.38
34241,4042.87
3425,5406.59
22257,3744.33
9417,4820.98
30817,3578.65
10273,4383.03
35097,4400.08
23113,4142.88
4281,4067.1
14553,5968.28
8561,3968.24
29961,3532.45
25681,4954.26
5137,3585.15
23969,4348.34
36809,4866.81
17977,3759.67
26537,5733.34
11985,4638.38
6849,3503.98
17121,3988.47
29105,3953.49
32529,3918.2
11129,4312.29
31673,3467.6
28249,4432.73
23970,7271.86
1714,9019.53
24826,8012.55
18834,5740.66
38522,9659.2
5994,5674.65
35954,7857.33
2,7389.55
39378,4194.91
4282,3910.28
29106,5829.85
8562,6234.54
9418,3766.76
25682,8843.01
19690,5373.73
34242,4024.82
16266,4637.82
22258,3622.16
26538,9591.94
20546,5052.16
10274,4078.56
30818,5818.09
37666,8256.99
33386,3953.25
14554,11061.1
858,8122.74
21402,3753.15
2570,9595.36
11130,7023.96
5138,5726.18
40234,4459.93
32530,6114.62
36810,8268.16
11986,7838.47
15410,4252.54
35098,7553.54
29962,5351.03
23114,6830.89
17978,5794.25
31674,6009.89
28250,3908.25
6850,6061.65
13698,8868.17
27394,3620.77
7706,6212.8
17122,6499.84
12842,8221.61
3426,3878.18
4283,6165.8
23971,10543.1
24827,10671.1
1715,10971.6
8563,9508.93
5995,7999.18
29107,10701.1
38523,15173.9
34243,7759.34
22259,6777.66
35955,11007.4
3,8893.2
20547,9061.15
39379,5594.37
16267,7829.5
26539,13917.4
23115,10921.6
18835,8900.98
25683,12309.2
37667,12432.6
859,9381.98
17123,10317.4
5139,8343.21
19691,8716.21
9419,4162.46
7707,8825.3
11987,10132.1
10275,6255.9
35099,11454.8
33387,5201.04
14555,15071.5
21403,4769.47
2571,12367.6
11131,10018.6
29963,8500.84
15411,4576.42
28251,7270
32531,10634.7
13699,13063.1
36811,10663.9
30819,9429.08
40235,7875.74
6851,8151.96
12843,10888.7
27395,5074.27
17979,9034.08
3427,4182.91
31675,9889.78
860,7164.1
24828,6697.33
5996,6095.56
4284,3589.63
26540,8673.87
23972,7286.63
1716,8181.25
28252,3443.78
4,7614.59
23116,5992.52
37668,7171.99
16268,4082.97
35956,7293.97
11132,5841.3
19692,4951.09
5140,5567.15
22260,3215.89
32532,5924.73
11988,7826.63
30820,5352.88
39380,4443.23
10276,3445.26
33388,3830.06
14556,10259.8
40236,3881.98
25684,7184.31
6852,5100.52
17124,5432.75
34244,3363.9
15412,5158.28
3428,4383.62
20548,5020.98
9420,3834.77
17980,6015.79
21404,3904.51
35100,6266.16
7708,5367.66
8564,5948.92
29108,5271.78
2572,9459.34
29964,5384.85
36812,6829.62
38524,9080.75
27396,3854.51
13700,8642.51
31676,5396.45
12844,7532.48
18836,5100.77
16269,6745.36
23973,7993.75
4285,6212.76
11989,7805.34
11133,7473.32
861,7382.81
23117,7448.54
1717,8144.14
5997,5805.1
5,6866.73
17125,6928.09
34245,6388.36
22261,5996.75
21405,4199.24
26541,11234.8
9421,4290.08
30821,5924.46
10277,6246.22
35101,7486.83
33389,4546.95
35957,7553.22
5141,6027.41
12845,8784.77
6853,6009.91
36813,7656.9
20549,6051.1
3429,4548.29
32533,6905.92
2573,10531.9
8565,7335.13
24829,8363.88
29109,6667.49
18837,6110.5
25685,8987.56
15413,4602.66
40237,6579.32
38525,11330.5
7709,6114.67
17981,6468.16
39381,4702.51
27397,4757.26
29965,5391.83
31677,5901.83
19693,5415.25
14557,10618.2
28253,6566.33
13701,9373.04
37669,8149.64
24830,5362.59
34246,4952.67
35102,5929.74
10278,4925.04
20550,4982.33
5142,5327.14
16270,4960.87
22262,4423.09
15414,5537.54
30822,5069.78
11990,6094.81
6,5703.3
11134,5550.87
8566,5761.68
862,6015.64
29966,4667.93
13702,6424.84
17126,5516.22
26542,7008.62
39382,5897.17
1718,6709.35
17982,5038.77
33390,5515.44
27398,5696.2
29110,5515.99
2574,7607.18
19694,4481.05
40238,5373.89
35958,5856.01
3430,6001.18
28254,5079.95
9422,5209.4
32534,5726.7
36814,5717.56
18838,4823.7
23118,5648.74
4286,4986.18
14558,7417.86
38526,7335.43
12846,5958.29
6854,5037.76
25686,5952.53
21406,5249.13
23974,5466.07
7710,5310.85
37670,6125.23
31678,5200.41
5998,5150.69
5143,6740.63
22263,5582.96
4287,5711.6
26543,9170.01
10279,5565.24
24831,8954.3
27399,3681.94
29111,7020.03
18839,7576.23
23975,7756.77
11135,6913.07
25687,8064.87
19695,5974.53
30823,7351.89
13703,8892.29
15415,4108.3
33391,3535.46
9423,3308.08
29967,5635.13
17983,6779.17
14559,11614.1
35959,8000.05
2575,9385.94
8567,7116.08
32535,7372.65
6855,7019.31
863,8548.47
3431,3463.42
39383,3909.23
23119,7456.45
21407,3957.8
20551,6406.48
40239,6186.38
16271,6637.4
7711,6482.3
37671,8450.99
12847,9250.2
28255,5791.71
31679,6944.9
5999,6663.14
36815,8952.57
35103,7707.4
17127,7320.29
1719,8551.03
11991,7968.23
34247,5758.45
7,7417.76
38527,10348.8
33392,4892.14
26544,10690.7
15416,5482.36
23120,7918.71
9424,4255.79
10280,5637.72
3432,5135.86
22264,6053.41
35960,8285.89
13704,8722.57
27400,5082.66
24832,8986.65
28256,6400.16
25688,9096.15
4288,6009.29
2576,11032.3
7712,5767.95
6856,6160.69
30824,5910.18
5144,6189.55
11136,7015.61
39384,4769.92
14560,12250.1
21408,5244.8
35104,7863.03
40240,5951.96
31680,6073.92
864,8701.16
20552,5894.01
8568,6091.12
23976,8455.81
29968,5679.47
36816,8798.03
38528,11305.6
17128,6397.14
34248,6009.92
16272,6961.18
29112,6463.61
8,7920.03
32536,6423.43
12848,8265.47
11992,8001.45
17984,6090.19
6000,6029.32
19696,5433.86
18840,6269.14
37672,8722.15
1720,9506.6
9425,4315.58
23121,5861.7
7713,3367.41
22265,4128.91
23977,5764.52
13705,6197.25
24833,6280.38
5145,3691.49
35105,6113.32
3433,5841.88
30825,3557.54
10281,4003.01
34249,4468.15
28257,5018.38
33393,5321.91
11137,5690.78
15417,5623.05
865,6063.47
35961,5579.09
25689,6542.78
27401,5274.16
4289,4284.32
39385,5569.46
38529,7775.94
20553,3650.89
36817,6013.66
2577,7495.95
29969,3716.82
32537,3956.74
37673,5890.26
19697,3639.16
14561,7944.69
21409,5052.1
12849,5990.16
40241,4781.93
18841,3639.31
31681,3571.97
16273,4631.56
26545,7802.76
29113,4290.52
17985,3697.07
8569,3746.45
11993,5539.91
1721,6810.76
6857,3412.8
6001,3519.2
17129,3671.25
9,5214.52
23122,5845.27
39386,3752.77
35106,5679.05
13706,6434.44
24834,6157.42
36818,5962.48
8570,5255.69
3434,3726.84
4290,3374.3
27402,3439.83
26546,8137.59
19698,4358.27
5146,4662.22
40242,3570.52
2578,7335.56
29970,4348.15
33394,3525.66
30826,4710.57
15418,3679.43
25690,6715.77
28258,3254.38
38530,7490.05
9426,3519.37
32538,5261.64
6002,4804.39
31682,4623.48
37674,6170.78
35962,5882.86
21410,3644.11
34250,3207.26
22266,3209.58
17130,4819.16
29114,4619.51
866,5612.07
16274,3462.24
7714,4795.41
14562,8606.92
10282,3400.45
18842,4413.54
17986,4581.1
6858,4679.41
1722,6345.55
11138,5773.03
23978,6062.05
20554,4637.22
10,5661.7
11994,6164.61
12850,5868.06
3435,4629.4
8571,5749.51
33395,5015.18
32539,6036.68
5147,5942.23
30827,5329.09
2579,8635.44
25691,8013.17
19699,5007.78
7715,5379.32
22267,5521.75
35107,7819.97
16275,6586.66
867,6773.64
23123,7471.52
9427,4141.61
28259,6048.01
10283,5126.79
29115,6353.81
4291,5200.92
21411,4942.26
34251,5958.47
11139,6881.48
17131,6618.77
36819,7338.58
26547,9413.13
18843,5467.7
13707,7499.55
39387,4846.3
37675,7519.73
11995,7088.43
6003,5409.64
14563,11446.4
23979,7758.56
40243,5874.64
20555,5595.23
35963,7708.08
29971,5438.32
15419,5660.04
6859,5218.74
38531,9403.31
12851,6824.88
27403,5150.66
17987,6028.86
24835,7852.85
11,6791.42
1723,7271.69
31683,5486.46
8572,7522.29
22268,5017.19
23124,7687.9
33396,4670.54
